,[job_title],[location],[company],[senior_level]
1765,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1766,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
1767,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
1768,Director of Data Science Experience,DataRobot,"Boston, MA",yes
1769,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1770,Director of Data Science Initiative (new posting),Atlanta University Center Consortium,United States,yes
1771,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1772,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1773,SVP Data Integration and Machine Learning,Brains Workgroup,"Great Neck, NY 11022",yes
1774,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1775,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1776,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1777,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1778,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1779,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
1780,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1781,"VP, Data Science",HBO Max,"New York, NY",yes
1782,Senior Data Scientist,1 Point System,"Atlanta, GA",yes
1783,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
1784,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1785,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1786,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1787,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
1788,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1789,"VP, Data Science",HBO Max,"New York, NY",yes
1790,Data Scientist,National Security Agency,"Fort Meade, MD 20755",yes
1791,Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",yes
1792,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1793,"VP, Analytics & Data Science",Charles Schwab,"Austin, TX",yes
1794,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
1795,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
1796,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1797,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
1798,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
1799,Director of Data Science Experience,DataRobot,"Boston, MA",yes
1800,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1801,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1802,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
1803,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1804,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1805,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1806,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
1807,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
