,[job_title],[location],[company],[senior_level]
1,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
2,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
3,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
4,SR Data Scientist,Little Caesars,"Detroit, MI",yes
5,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
6,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
7,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
8,Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",yes
9,"Data Engineer, Retail Business Intelligence",Apple,"Austin, TX 78758 (North Austin area)",yes
10,Medical Researcher Senior Analyst,Johnson & Johnson Family of Companies,"Seattle, WA",yes
11,Data Solutions Senior Analyst,Capital Group,"Los Angeles, CA 90071",yes
12,"Senior Data Scientist/Principal Data Scientist, Oncology",AstraZeneca,"Gaithersburg, MD 20878",yes
13,Data Engineer-Senior,Y-AXIS,"Malvern, PA",yes
14,"Sr. Data Engineer, Analytics Center of Excellence",NBCUniversal,"New York, NY",yes
15,Senior Clinical Data Scientist-Contractor,Santen Inc,"Emeryville, CA",yes
16,Data Scientist - Level 4 (DCGS),Red Arch Solutions,"Chantilly, VA",yes
17,Senior Principal Data Engineer,BNY Mellon,"Jersey City, NJ",yes
18,"Senior Data Scientist, NLP",Deloitte,"New York, NY",yes
19,Sr. Staff Machine Learning Applied Engineer - Revenue Science,Twitter,"San Francisco, CA 94103 (South Of Market area)",yes
20,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
21,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
22,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
23,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
24,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
25,Data Science Instructor - D & I,Elder Research Inc,"Chantilly, VA 20151",yes
26,Lead Data Scientist,AETNA,"New York, NY 10016 (Gramercy area)",yes
27,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
28,Senior Data Scientist,AETNA,"Wellesley, MA",yes
29,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
30,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
31,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
32,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
33,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
34,SR Data Scientist,Little Caesars,"Detroit, MI",yes
35,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
36,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
37,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
38,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
39,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
40,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
41,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
42,SR Data Scientist,Little Caesars,"Detroit, MI",yes
43,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
44,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
45,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
46,Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",yes
47,"Data Engineer, Retail Business Intelligence",Apple,"Austin, TX 78758 (North Austin area)",yes
48,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
49,SR Data Scientist,Little Caesars,"Detroit, MI",yes
50,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
51,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
52,Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",yes
53,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
54,Data Scientist II,Bank of America,"Charlotte, NC 28255 (Wilmore area)",yes
55,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
56,Sr. Data Scientist,Tuft & Needle,Remote,yes
57,"Data Engineer, Retail Business Intelligence",Apple,"Austin, TX 78758 (North Austin area)",yes
58,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
59,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
60,SR Data Scientist,Little Caesars,"Detroit, MI",yes
61,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
62,Data Scientist II,Bank of America,"Charlotte, NC 28255 (Wilmore area)",yes
63,Sr. Data Scientist,Tuft & Needle,Remote,yes
64,Sr. Data Scientist - Batteries,Apple,"Santa Clara Valley, CA 95014",yes
65,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
66,Sr. Data Scientist,Microagility,"Columbus, OH",yes
67,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
68,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
69,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
70,IT Data Scientist,Qualcomm,United States,yes
71,Sr. Data Scientist,Microagility,"Columbus, OH",yes
72,Data Science Lead,Spark Therapeutics,"Philadelphia, PA 19104 (Belmont area)",yes
73,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
74,Sr. Data Scientist for the VA Medical (EHRM) Program,Sean E. Merryman Placements,"Washington, DC",yes
75,Senior Data Scientist,Cigna,United States,yes
76,Data Scientist/Engineer,IT Synergy,"Lewis Center, OH",yes
77,Senior Data Scientist,"Analytical Mechanics Associates, Inc.",United States,yes
78,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
79,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
80,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
81,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
82,SR Data Scientist,Little Caesars,"Detroit, MI",yes
83,Head of Data Science,BioTrillion,"San Francisco, CA",yes
84,"VP, Data Science",HBO Max,"New York, NY",yes
85,"Director, Analytics & Data Science",Microsoft,"Redmond, WA",yes
86,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
87,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
88,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
89,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
90,SR Data Scientist,Little Caesars,"Detroit, MI",yes
91,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
92,"VP, Data Science",HBO Max,"New York, NY",yes
93,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
94,Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",yes
95,Senior Data Scientist,"Williams-Sonoma, Inc.","San Francisco, CA",yes
96,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
97,Head of Data Science,BioTrillion,"San Francisco, CA",yes
98,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
99,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
100,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
101,SR Data Scientist,Little Caesars,"Detroit, MI",yes
102,Data Scientist/Engineer,IT Synergy,"Lewis Center, OH",yes
103,Sr. Data Scientist,Microagility,"Columbus, OH",yes
104,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
105,Senior Data Scientist,Cigna,United States,yes
106,Data Science Lead,Spark Therapeutics,"Philadelphia, PA 19104 (Belmont area)",yes
107,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
108,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
109,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
110,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
111,Senior Data Scientist,1 Point System,"Atlanta, GA",yes
112,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
113,SR Data Scientist,Little Caesars,"Detroit, MI",yes
114,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
115,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
116,Director of Data Science Experience,DataRobot,"Boston, MA",yes
117,Director of Data Science Initiative (new posting),Atlanta University Center Consortium,United States,yes
118,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
119,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
120,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
121,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
122,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
123,"VP, Data Science",HBO Max,"New York, NY",yes
124,SR Data Scientist,Little Caesars,"Detroit, MI",yes
125,Head of Data Science,BioTrillion,"San Francisco, CA",yes
126,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
127,"Director, Analytics & Data Science",Microsoft,"Redmond, WA",yes
128,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
129,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
130,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
131,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
132,"VP, Data Science",HBO Max,"New York, NY",yes
133,SR Data Scientist,Little Caesars,"Detroit, MI",yes
134,Head of Data Science,BioTrillion,"San Francisco, CA",yes
135,Sr. Data Scientist,Microagility,"Columbus, OH",yes
136,"Executive Director, Scientific Informatics & Data Science",Merck,"Cambridge, MA",yes
137,"Director, Analytics & Data Science",Microsoft,"Redmond, WA",yes
138,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
139,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
140,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
141,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
142,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
143,Director of Data Science Experience,DataRobot,"Boston, MA",yes
144,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
145,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
146,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
147,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
148,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
149,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
150,Senior Data Scientist,1 Point System,"Atlanta, GA",yes
151,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
152,SR Data Scientist,Little Caesars,"Detroit, MI",yes
153,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
154,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
155,Director of Data Science Experience,DataRobot,"Boston, MA",yes
156,Director of Data Science Initiative (new posting),Atlanta University Center Consortium,United States,yes
157,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
158,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
159,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
160,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
161,Director of Data Science Experience,DataRobot,"Boston, MA",yes
162,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
163,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
164,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
165,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
166,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
167,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
168,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
169,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
170,IT Data Scientist,Qualcomm,United States,yes
171,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
172,Sr. Data Scientist for the VA Medical (EHRM) Program,Sean E. Merryman Placements,"Washington, DC",yes
173,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
174,Sr. Data Engineer,"VeracityID, Inc.","New Orleans, LA",yes
175,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
176,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
177,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
178,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
179,Director of Data Science Experience,DataRobot,"Boston, MA",yes
180,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
181,Senior AWS Data Engineer with Heavy Apache Spark,iAustin,"Dallas, TX",yes
182,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
183,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
184,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
185,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
186,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
187,SR Data Scientist,Little Caesars,"Detroit, MI",yes
188,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
189,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
190,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
191,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
192,Director of Data Science Experience,DataRobot,"Boston, MA",yes
193,Head of Data Science,BioTrillion,"San Francisco, CA",yes
194,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
195,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
196,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
197,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
198,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
199,Director of Data Science Experience,DataRobot,"Boston, MA",yes
200,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
201,Senior AWS Data Engineer with Heavy Apache Spark,iAustin,"Dallas, TX",yes
202,Senior Data Scientist,Praaneel,"Pasadena, CA",yes
203,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
204,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
205,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
206,Sr. Data Scientist,Microagility,"Columbus, OH",yes
207,IT Data Scientist,Qualcomm,United States,yes
208,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
209,Data Science Lead,Spark Therapeutics,"Philadelphia, PA 19104 (Belmont area)",yes
210,Senior Data Scientist,Cigna,United States,yes
211,Data Scientist/Engineer,IT Synergy,"Lewis Center, OH",yes
212,Sr. Data Scientist for the VA Medical (EHRM) Program,Sean E. Merryman Placements,"Washington, DC",yes
213,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
214,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
215,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
216,SR Data Scientist,Little Caesars,"Detroit, MI",yes
217,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
218,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
219,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
220,"VP, Data Science",HBO Max,"New York, NY",yes
221,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
222,"Director, Analytics & Data Science",Microsoft,"Redmond, WA",yes
223,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
224,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
225,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
226,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
227,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
228,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
229,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
230,Sr. Data Scientist,Microagility,"Columbus, OH",yes
231,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
232,IT Data Scientist,Qualcomm,United States,yes
233,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
234,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
235,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
236,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
237,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
238,Director of Data Science Experience,DataRobot,"Boston, MA",yes
239,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
240,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
241,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
242,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
243,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
244,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
245,SR Data Scientist,Little Caesars,"Detroit, MI",yes
246,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
247,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
248,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
249,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
250,Director of Data Science Experience,DataRobot,"Boston, MA",yes
251,Head of Data Science,BioTrillion,"San Francisco, CA",yes
252,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
253,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
254,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
255,SR Data Scientist,Little Caesars,"Detroit, MI",yes
256,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
257,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
258,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
259,Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",yes
260,"Data Engineer, Retail Business Intelligence",Apple,"Austin, TX 78758 (North Austin area)",yes
261,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
262,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
263,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
264,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
265,Director of Data Science Experience,DataRobot,"Boston, MA",yes
266,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
267,Senior AWS Data Engineer with Heavy Apache Spark,iAustin,"Dallas, TX",yes
268,Senior Data Scientist,Praaneel,"Pasadena, CA",yes
269,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
270,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
271,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
272,SR Data Scientist,Little Caesars,"Detroit, MI",yes
273,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
274,Data Scientist II,Bank of America,"Charlotte, NC 28255 (Wilmore area)",yes
275,Sr. Data Scientist,Microagility,"Columbus, OH",yes
276,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
277,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
278,Sr. Data Scientist,Tuft & Needle,Remote,yes
279,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
280,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
281,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
282,SR Data Scientist,Little Caesars,"Detroit, MI",yes
283,Sr. Data Scientist,Microagility,"Columbus, OH",yes
284,Data Scientist II,Bank of America,"Charlotte, NC 28255 (Wilmore area)",yes
285,Sr. Data Scientist,Tuft & Needle,Remote,yes
286,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
287,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
288,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
289,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
290,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
291,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
292,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
293,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
294,"VP, Data Science",HBO Max,"New York, NY",yes
295,SR Data Scientist,Little Caesars,"Detroit, MI",yes
296,Head of Data Science,BioTrillion,"San Francisco, CA",yes
297,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
298,"Director, Analytics & Data Science",Microsoft,"Redmond, WA",yes
299,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
300,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
301,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
302,SR Data Scientist,Little Caesars,"Detroit, MI",yes
303,Sr. Data Scientist,Microagility,"Columbus, OH",yes
304,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
305,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
306,Data Scientist II,Bank of America,"Charlotte, NC 28255 (Wilmore area)",yes
307,IT Data Scientist,Qualcomm,United States,yes
308,Data Science Lead,Spark Therapeutics,"Philadelphia, PA 19104 (Belmont area)",yes
309,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
310,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
311,Data Scientist/Engineer,IT Synergy,"Lewis Center, OH",yes
312,Senior Data Scientist,Cigna,United States,yes
313,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
314,Data Science Lead,Spark Therapeutics,"Philadelphia, PA 19104 (Belmont area)",yes
315,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
316,IT Data Scientist,Qualcomm,United States,yes
317,Senior Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.",United States,yes
318,Senior Data Scientist,"Analytical Mechanics Associates, Inc.",United States,yes
319,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
320,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
321,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
322,Director of Data Science Experience,DataRobot,"Boston, MA",yes
323,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
324,Senior Data Engineer,Darling Consulting Group,"Newburyport, MA 01950",yes
325,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
326,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
327,Senior Data Scientist,Praaneel,"Pasadena, CA",yes
328,Sr. Data Engineer,Gravity Technology Solutions,"Austin, TX",yes
329,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
330,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
331,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
332,Director of Data Science Experience,DataRobot,"Boston, MA",yes
333,Data Engineer,HCA Healthcare,"Austin, TX 78701 (Downtown area)",yes
334,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
335,Senior Data Engineer,"VeracityID, Inc.","Austin, TX",yes
336,Data Science Instructor w/ TS/SCI FSP Clearance,Daybreak LLC,"Herndon, VA 20171",yes
337,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
338,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
339,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
340,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
341,"VP, Data Science",HBO Max,"New York, NY",yes
342,SR Data Scientist,Little Caesars,"Detroit, MI",yes
343,Head of Data Science,BioTrillion,"San Francisco, CA",yes
344,Sr. Data Scientist,Microagility,"Columbus, OH",yes
345,"Executive Director, Scientific Informatics & Data Science",Merck,"Cambridge, MA",yes
346,"Director, Analytics & Data Science",Microsoft,"Redmond, WA",yes
347,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
348,"Sr. Manager, Associate Data Science",Barrington James,"Boston, MA",yes
349,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
350,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
351,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
352,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
353,Director of Data Science Experience,DataRobot,"Boston, MA",yes
354,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
355,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
356,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
357,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
358,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
359,SR Data Scientist,Little Caesars,"Detroit, MI",yes
360,Sr. Data Scientist,Microagility,"Columbus, OH",yes
361,Data Scientist II,Bank of America,"Charlotte, NC 28255 (Wilmore area)",yes
362,Sr. Data Scientist,Tuft & Needle,Remote,yes
363,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
364,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
365,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
366,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
367,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
368,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
369,SR Data Scientist,Little Caesars,"Detroit, MI",yes
370,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
371,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
372,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
373,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
374,Director of Data Science Experience,DataRobot,"Boston, MA",yes
375,Head of Data Science,BioTrillion,"San Francisco, CA",yes
376,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
377,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
378,SR Data Scientist,Little Caesars,"Detroit, MI",yes
379,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
380,Data Scientist II,Bank of America,"Charlotte, NC 28255 (Wilmore area)",yes
381,Sr. Data Scientist,Tuft & Needle,Remote,yes
382,Sr. Data Scientist - Batteries,Apple,"Santa Clara Valley, CA 95014",yes
