,[job_title],[parttime]
227,Data Engineer,yes
228,Data Science Internship,yes
229,Summer Intern - Data Scientist,yes
230,Data Scientist,yes
231,Artificial Intelligence (AI) Associate - Data Scientist,yes
232,Statistician (Data Scientist),yes
233,Data Science Internship,yes
234,Data Science Internship,yes
235,Data Science Instructor Associate (Part-Time),yes
236,"Paid Summer Intern - Undergraduate, Data Science",yes
237,Data Engineer,yes
238,Data Scientist / Machine Learning Specialist,yes
239,Data Scientist Intern,yes
240,Data Science Internship,yes
241,Artificial Intelligence (AI) Associate - Data Scientist,yes
242,Data Science Internship,yes
243,Data Science Internship,yes
244,Data Scientist / Machine Learning Specialist,yes
245,Data Science & Analytics Intern,yes
246,Internship - Data Science,yes
247,Adjunct/Part-Time Faculty: Data Science Initiative,yes
248,Data Scientist,yes
249,"Data Science-Online Adjunct, Graduate Level",yes
250,"Data Science Online Course Instructor (Part-Time, Contract)",yes
251,Data Scientist / Machine Learning Specialist,yes
252,Data Science Internship,yes
253,Artificial Intelligence (AI) Associate - Data Scientist,yes
254,Data Science Internship,yes
255,Data Science & Analytics Intern,yes
256,Adjunct/Part-Time Faculty: Data Science Initiative,yes
257,Data Science Intern,yes
258,Internship - Data Science,yes
259,Data Scientist,yes
260,Data Science Intern - Summer 2020,yes
261,Data Science Internship,yes
262,Artificial Intelligence (AI) Associate - Data Scientist,yes
263,Statistician (Data Scientist),yes
264,Data Science Instructor Associate (Part-Time),yes
265,Data Scientist / Machine Learning Specialist,yes
266,Summer Intern - Data Scientist,yes
267,Data Science Internship,yes
268,Data Scientist,yes
269,Data Science Internship,yes
270,Internship - Data Science,yes
271,Data Scientist / Machine Learning Specialist,yes
272,Data Science Internship,yes
273,Artificial Intelligence (AI) Associate - Data Scientist,yes
274,Part-Time Lecturer Data Mining/Machine Learning Online,yes
275,CDC Influenza Data Science Fellowship,yes
276,Data Scientist,yes
277,Data Science Internship,yes
278,Data Science & Analytics Intern,yes
279,"Data Science-Online Adjunct, Graduate Level",yes
280,Internship - Data Science,yes
281,Data Scientist / Machine Learning Specialist,yes
282,Artificial Intelligence (AI) Associate - Data Scientist,yes
283,Statistician (Data Scientist),yes
284,Data Engineer II,yes
285,Data Scientist,yes
286,Data Science Internship,yes
287,Data Science Instructor Associate (Part-Time),yes
288,Part-Time Lecturer Data Mining/Machine Learning Online,yes
289,Internship - Data Science,yes
290,Summer Intern - Data Scientist,yes
291,Artificial Intelligence (AI) Associate - Data Scientist,yes
292,Data Science Internship,yes
293,Data Engineer,yes
294,Internship - Data Science,yes
295,"Paid Summer Intern - Undergraduate, Data Science",yes
296,Statistician (Data Scientist),yes
297,Data Scientist Intern,yes
298,Data Science Internship,yes
299,Data Scientist / Machine Learning Specialist,yes
300,Data Science Internship,yes
301,Artificial Intelligence (AI) Associate - Data Scientist,yes
302,Data Scientist / Machine Learning Specialist,yes
303,Statistician (Data Scientist),yes
304,Data Engineer II,yes
305,Data Science Internship,yes
306,Data Scientist,yes
307,Data Science Instructor Associate (Part-Time),yes
308,Part-Time Lecturer Data Mining/Machine Learning Online,yes
309,Internship - Data Science,yes
310,Summer Intern - Data Scientist,yes
311,Data Scientist / Machine Learning Specialist,yes
312,Artificial Intelligence (AI) Associate - Data Scientist,yes
313,Part-Time Lecturer Data Mining/Machine Learning Online,yes
314,Data Science Internship,yes
315,Data Scientist,yes
316,Data Science Internship,yes
317,Data Science Graduate Research Assistant Spring 2020 - ICL,yes
318,CDC Influenza Data Science Fellowship,yes
319,Adjunct Faculty for Online Data Science Program--Data Analytics - Bay Path University,yes
320,Internship - Data Science,yes
321,Data Science & Analytics Intern,yes
322,Data Science Internship,yes
323,Data Scientist / Machine Learning Specialist,yes
324,Artificial Intelligence (AI) Associate - Data Scientist,yes
325,Data Science Internship,yes
326,Adjunct/Part-Time Faculty: Data Science Initiative,yes
327,Data Scientist,yes
328,Internship - Data Science,yes
329,"Data Science-Online Adjunct, Graduate Level",yes
330,Data Science Intern,yes
331,Artificial Intelligence (AI) Associate - Data Scientist,yes
332,Data Scientist / Machine Learning Specialist,yes
333,Data Science Internship,yes
334,Data Scientist,yes
335,Statistician (Data Scientist),yes
336,Internship - Data Science,yes
337,Data Engineer,yes
338,Summer Intern - Data Scientist,yes
339,Data Science Internship,yes
340,Data Engineer II,yes
341,Data Science Internship,yes
342,CDC Influenza Data Science Fellowship,yes
343,Data Science & Analytics Intern,yes
344,Data Scientist / Machine Learning Specialist,yes
345,"Data Science-Online Adjunct, Graduate Level",yes
346,Data Science Intern,yes
347,Data Science Internship,yes
348,Adjunct/Part-Time Faculty: Data Science Initiative,yes
349,Data Scientist,yes
350,"Paid Summer Intern - Undergraduate, Data Science",yes
351,Data Science Internship,yes
352,Data Scientist / Machine Learning Specialist,yes
353,Data Science Internship,yes
354,Artificial Intelligence (AI) Associate - Data Scientist,yes
355,Data Science & Analytics Intern,yes
356,CDC Influenza Data Science Fellowship,yes
357,Part-Time Lecturer Data Mining/Machine Learning Online,yes
358,Data Scientist,yes
359,Data Science Graduate Research Assistant Spring 2020 - ICL,yes
360,Data Science Internship,yes
361,Artificial Intelligence (AI) Associate - Data Scientist,yes
362,Data Science Internship,yes
363,Data Scientist / Machine Learning Specialist,yes
364,"Paid Summer Intern - Undergraduate, Data Science",yes
365,Data Scientist Intern,yes
366,Data Science Internship,yes
367,Data Engineer,yes
368,Data Science Intern - Summer 2020,yes
369,Internship - Data Science,yes
370,Statistician (Data Scientist),yes
371,Data Scientist / Machine Learning Specialist,yes
372,Data Science Internship,yes
373,CDC Influenza Data Science Fellowship,yes
374,Artificial Intelligence (AI) Associate - Data Scientist,yes
375,Data Scientist,yes
376,Part-Time Lecturer Data Mining/Machine Learning Online,yes
377,Data Science & Analytics Intern,yes
378,Data Science Internship,yes
379,"Data Science-Online Adjunct, Graduate Level",yes
380,Data Science Graduate Research Assistant Spring 2020 - ICL,yes
381,Artificial Intelligence (AI) Associate - Data Scientist,yes
382,Data Science Internship,yes
383,Statistician (Data Scientist),yes
384,Data Science Instructor Associate (Part-Time),yes
385,Data Scientist / Machine Learning Specialist,yes
386,Summer Intern - Data Scientist,yes
387,Sr. Data Engineer,yes
388,Data Scientist,yes
389,Data Science Internship,yes
390,Internship - Data Science,yes
391,Data Science Internship,yes
392,Data Scientist / Machine Learning Specialist,yes
393,Data Science & Analytics Intern,yes
394,Artificial Intelligence (AI) Associate - Data Scientist,yes
395,Data Science Intern - Summer 2020,yes
396,Adjunct/Part-Time Faculty: Data Science Initiative,yes
397,Data Science Intern,yes
398,Data Science Internship,yes
399,"Data Science-Online Adjunct, Graduate Level",yes
400,Data Science Intern,yes
401,Data Science Internship,yes
402,Data Science & Analytics Intern,yes
