,[job_title],[location],[company],[mid_level]
821,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
822,Data Scientist,Best Buy,"Richfield, MN 55423",yes
823,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
824,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
825,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
826,Data Analytics Scientist,Theoris,"Bradley, IL",yes
827,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
828,Data Scientist,"Amazon Web Services, Inc.","Herndon, VA",yes
829,Data Scientist III,LexisNexis SA,"Raleigh, NC",yes
830,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
831,Data Scientist,DTE Energy,"Detroit, MI",yes
832,Data Scientist,Dow Technologies and Systems,"United, PA",yes
833,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
834,Data Scientist,Social Science Research Solutions (SSRS),"Glen Mills, PA",yes
835,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
836,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
837,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
838,Data Scientist,Best Buy,"Richfield, MN 55423",yes
839,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
840,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
841,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
842,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
843,Data Scientist,Dow Technologies and Systems,"United, PA",yes
844,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
845,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
846,Data Scientist,DTE Energy,"Detroit, MI",yes
847,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
848,Data Scientist - Data Analytics,FCA,"Auburn Hills, MI 48326",yes
849,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
850,Data Scientist,DTE Energy,"Detroit, MI",yes
851,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
852,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
853,Data Scientist,Dow Technologies and Systems,"United, PA",yes
854,"Analyst I/II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
855,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
856,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
857,Data Scientist - Data Analytics,FCA,"Auburn Hills, MI 48326",yes
858,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
859,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
860,Data Scientist,Dow Technologies and Systems,"United, PA",yes
861,Data Scientist,DTE Energy,"Detroit, MI",yes
862,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
863,Data Scientist,Best Buy,"Richfield, MN 55423",yes
864,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
865,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
866,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
867,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
868,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
869,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
870,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
871,Data Scientist,DTE Energy,"Detroit, MI",yes
872,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
873,Data Scientist,Dow Technologies and Systems,"United, PA",yes
874,Data Science Consultant - Supply Chain,Accenture,"Detroit, MI",yes
875,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
876,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
877,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
878,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
879,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
880,Data Scientist,Dow Technologies and Systems,"United, PA",yes
881,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
882,DataOps Engineer - Data Science and Clinical Trials,Origent Data Sciences,"Washington, DC 20009 (U Street Corridor area)",yes
883,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
884,"Analyst I/II, Data Science",Liberty Mutual Insurance,"Boston, MA 02101",yes
885,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
886,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
887,Data Scientist,Imprimis Group,"Dallas, TX 75202 (City Center District area)",yes
888,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
889,Data Scientist,Dow Technologies and Systems,"United, PA",yes
890,Data Scientist,DTE Energy,"Detroit, MI",yes
891,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
892,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
893,Data Engineer,FutureSoft IT,"Detroit, MI",yes
894,DataOps Engineer - Data Science and Clinical Trials,Origent Data Sciences,"Washington, DC 20009 (U Street Corridor area)",yes
895,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
896,Data Analytics Scientist,Theoris,"Bradley, IL",yes
897,Intermediate Data Science Analyst,Gateway,"Indianapolis, IN 46204",yes
898,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
899,Data Scientist,DTE Energy,"Detroit, MI",yes
900,"Data Scientist, Content Platform",Spotify,"New York, NY 10011 (Chelsea area)",yes
901,Data Scientist and Visualization Specialist,Apple,"Santa Clara Valley, CA 95014",yes
902,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
903,"Associate, Data Science",JP Morgan Chase,"Lewisville, TX 75067",yes
904,"Data Scientist, Analytics",Facebook,"New York, NY 10017 (Midtown area)",yes
905,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
906,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
907,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
908,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
909,Data Scientist,DTE Energy,"Detroit, MI",yes
910,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
911,Data Scientist,Dow Technologies and Systems,"United, PA",yes
912,Data Engineer,FutureSoft IT,"Detroit, MI",yes
913,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
914,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
915,Data Scientist,AQUASIGHT LLC,"Troy, MI 48084",yes
916,Data Scientist,OneMagnify,"Dearborn, MI",yes
917,Data Scientist,Booz Allen Hamilton,"Fayetteville, NC 28303",yes
918,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
919,Data Scientist,DTE Energy,"Detroit, MI",yes
920,Data Scientist,Dow Technologies and Systems,"United, PA",yes
921,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
922,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
923,Data Scientist,Best Buy,"Richfield, MN 55423",yes
924,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
925,Data Science Associate,McKesson,"Atlanta, GA 30329",yes
926,Data Science Analyst,Domino's,"Ann Arbor, MI 48106",yes
927,Data Scientist or Associate Data Scientist,Metropolitan Council,"Minneapolis, MN 55405 (Bryn Mawr area)",yes
928,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
929,Data Scientist,DTE Energy,"Detroit, MI",yes
930,Data Scientist,Dow Technologies and Systems,"United, PA",yes
931,Democratization Data Scientist,Ford Motor Company,"Dearborn, MI 48126",yes
932,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
933,Data Scientist / Machine Learning Specialist,University of Michigan,"Ann Arbor, MI 48109",yes
934,"Applied Data Scientist- Arlington, VA",Nestle USA,"Arlington, VA 22201",yes
935,Data Scientist,Ameritas,"Cincinnati, OH 45240",yes
936,Data Scientist,Social Science Research Solutions (SSRS),"Glen Mills, PA",yes
937,Data Scientist,Best Buy,"Richfield, MN 55423",yes
938,Data Scientist,Ford Motor Company,"Dearborn, MI",yes
939,Data Scientist,DTE Energy,"Detroit, MI",yes
940,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
941,Data Scientist,Dow Technologies and Systems,"United, PA",yes
