,[job_title],[location],[company],[contract]
1969,Sr. Data Scientist for the VA Medical (EHRM) Program,Sean E. Merryman Placements,"Washington, DC",yes
1970,Data Engineer,nygci,"Long Island, NY",yes
1971,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1972,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
1973,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
1974,Sr. Data Scientist,Microagility,"Columbus, OH",yes
1975,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
1976,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
1977,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
1978,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
1979,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
1980,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
1981,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1982,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
1983,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
1984,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
1985,Sr. Data Scientist,Microagility,"Columbus, OH",yes
1986,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
1987,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
1988,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
1989,Data Scientist,Digitalogy,"New York, NY",yes
1990,Data Scientist|| Machine Learning,Expedite LLC,"Broomfield, CO",yes
1991,Data Scientist,Digitalogy,"New York, NY",yes
1992,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
1993,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1994,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
1995,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
1996,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
1997,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
1998,Data Scientist,Pricesenz,"Broomfield, CO",yes
1999,Contract Data Scientist,"DonorBureau, LLC","Franklin, TN 37067",yes
2000,Data Analyst/Scientist,Kyber Technologies INC,"Seattle, WA",yes
2001,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
2002,Data Engineer,FutureSoft IT,"Detroit, MI",yes
2003,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
2004,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2005,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
2006,Data Scientist,Kaav inc.,"Dublin, OH",yes
2007,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2008,Data Scientist,Jnit Technologies,"Seattle, WA",yes
2009,Data Scientist,Pricesenz,"Broomfield, CO",yes
2010,Data Science Architect,Themesoft,"Mountain View, CA",yes
2011,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
2012,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
2013,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
2014,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
2015,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
2016,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
2017,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
