,[job_title],[location],[company],[contract]
6071,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6072,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6073,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6074,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6075,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
6076,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6077,Data Scientist,Pricesenz,"Broomfield, CO",yes
6078,Data Science Architect,Jnit Technologies,"Santa Clara, CA",yes
6079,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
6080,data science Consultant with Tele comm domain,SILVERLINK TECHNOLOGIES LLC,"Broomfield, CO 80020",yes
6081,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6082,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6083,Data Engineer,FutureSoft IT,"Detroit, MI",yes
6084,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6085,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6086,Data Scientist,Pricesenz,"Broomfield, CO",yes
6087,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
6088,Data Scientist,Jnit Technologies,"Seattle, WA",yes
6089,Data Scientist,Kaav inc.,"Dublin, OH",yes
6090,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6091,Data Scientist,Digitalogy,"New York, NY",yes
6092,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6093,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6094,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6095,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6096,Data Scientist,Pricesenz,"Broomfield, CO",yes
6097,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6098,Contract Data Scientist,"DonorBureau, LLC","Franklin, TN 37067",yes
6099,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6100,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6101,Data Scientist,Digitalogy,"New York, NY",yes
6102,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6103,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6104,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6105,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6106,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6107,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
6108,Data Scientist,Pricesenz,"Broomfield, CO",yes
6109,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6110,Data Scientist,Jnit Technologies,"Seattle, WA",yes
6111,Data Scientist,Digitalogy,"New York, NY",yes
6112,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6113,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6114,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6115,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6116,Data Scientist,Jnit Technologies,"Seattle, WA",yes
6117,Data Scientist,Pricesenz,"Broomfield, CO",yes
6118,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
6119,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6120,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6121,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6122,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6123,Data Scientist,Digitalogy,"New York, NY",yes
6124,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6125,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6126,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6127,Data Scientist,Pricesenz,"Broomfield, CO",yes
6128,Data Engineer,FutureSoft IT,"Detroit, MI",yes
6129,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
6130,Data Scientist,Jnit Technologies,"Seattle, WA",yes
6131,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6132,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6133,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6134,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6135,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
6136,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
6137,Data Scientist,Kaav inc.,"Dublin, OH",yes
6138,Data Engineer,FutureSoft IT,"Detroit, MI",yes
6139,Data Engineer,Accelalpha,"Seattle, WA",yes
6140,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6141,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6142,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6143,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6144,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6145,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6146,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
6147,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
6148,Data Scientist,Kaav inc.,"Dublin, OH",yes
6149,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
6150,Data Scientist,Jnit Technologies,"Seattle, WA",yes
6151,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6152,Data Engineer,FutureSoft IT,"Detroit, MI",yes
6153,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6154,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6155,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6156,Data Scientist,Kaav inc.,"Dublin, OH",yes
6157,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6158,Data Engineer,Futran Solutions,"Mount Laurel, NJ",yes
6159,Data Engineer,Aimqd,"St. Louis, MO",yes
6160,Data Scientist,Lakarya,"Arlington, VA",yes
6161,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6162,Data Engineer,FutureSoft IT,"Detroit, MI",yes
6163,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6164,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6165,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6166,Data Scientist,Kaav inc.,"Dublin, OH",yes
6167,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6168,Data Scientist,Pricesenz,"Broomfield, CO",yes
6169,Data Scientist,Jnit Technologies,"Seattle, WA",yes
6170,Data Scientist,Lakarya,"Arlington, VA",yes
6171,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6172,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6173,Data Engineer,Accelalpha,"Seattle, WA",yes
6174,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6175,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
6176,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6177,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
6178,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6179,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
6180,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
6181,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6182,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6183,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
6184,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6185,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6186,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6187,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
6188,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6189,Data Scientist,Digitalogy,"New York, NY",yes
6190,Sr. Data Scientist,Microagility,"Columbus, OH",yes
6191,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6192,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6193,Data Scientist,Digitalogy,"New York, NY",yes
6194,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6195,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6196,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6197,Data Scientist,Pricesenz,"Broomfield, CO",yes
6198,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6199,Contract Data Scientist,"DonorBureau, LLC","Franklin, TN 37067",yes
6200,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
6201,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6202,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6203,Data Scientist,Pricesenz,"Broomfield, CO",yes
6204,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6205,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6206,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6207,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
6208,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6209,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
6210,Contract Data Scientist,"DonorBureau, LLC","Franklin, TN 37067",yes
6211,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6212,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6213,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6214,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
6215,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
6216,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6217,Data Scientist,Jnit Technologies,"Seattle, WA",yes
6218,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6219,Data Scientist,Digitalogy,"New York, NY",yes
6220,Data Scientist,University of California - Irvine,"Irvine, CA 92697",yes
6221,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6222,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6223,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
6224,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6225,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6226,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6227,Data Scientist,Jnit Technologies,"Seattle, WA",yes
6228,Data Scientist,Kaav inc.,"Dublin, OH",yes
6229,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
6230,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
6231,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6232,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6233,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6234,Data Scientist,Bainom Inc.,"San Francisco, CA",yes
6235,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
6236,Data Science Architect,Jnit Technologies,"Santa Clara, CA",yes
6237,Data Scientist,Pricesenz,"Broomfield, CO",yes
6238,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6239,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6240,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
6241,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6242,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6243,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6244,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
6245,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
6246,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6247,Data Scientist,Jnit Technologies,"Seattle, WA",yes
6248,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6249,Data Scientist,Digitalogy,"New York, NY",yes
6250,Data Scientist,University of California - Irvine,"Irvine, CA 92697",yes
6251,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6252,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6253,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6254,Data Scientist,Pricesenz,"Broomfield, CO",yes
6255,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6256,Data Scientist,Digitalogy,"New York, NY",yes
6257,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6258,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6259,Contract Data Scientist,"DonorBureau, LLC","Franklin, TN 37067",yes
6260,Data Scientist,Bainom Inc.,"San Francisco, CA",yes
6261,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6262,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6263,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6264,Data Scientist,Pricesenz,"Broomfield, CO",yes
6265,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6266,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6267,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
6268,Data Scientist,Bainom Inc.,"San Francisco, CA",yes
6269,Data Science Architect,Jnit Technologies,"Santa Clara, CA",yes
6270,Contract Data Scientist,"DonorBureau, LLC","Franklin, TN 37067",yes
6271,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6272,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6273,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6274,Data Scientist,Pricesenz,"Broomfield, CO",yes
6275,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6276,Data Scientist,Digitalogy,"New York, NY",yes
6277,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6278,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6279,Contract Data Scientist,"DonorBureau, LLC","Franklin, TN 37067",yes
6280,Data Scientist,Bainom Inc.,"San Francisco, CA",yes
6281,Data Scientist,Digitalogy,"New York, NY",yes
6282,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6283,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6284,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6285,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6286,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6287,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
6288,Data Scientist,Pricesenz,"Broomfield, CO",yes
6289,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6290,Data Scientist,Jnit Technologies,"Seattle, WA",yes
6291,Data Scientist,Digitalogy,"New York, NY",yes
6292,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6293,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6294,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6295,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6296,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6297,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
6298,Data Scientist,Pricesenz,"Broomfield, CO",yes
6299,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6300,Data Scientist,Jnit Technologies,"Seattle, WA",yes
6301,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6302,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6303,Data Engineer,FutureSoft IT,"Detroit, MI",yes
6304,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6305,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6306,Data Scientist,Pricesenz,"Broomfield, CO",yes
6307,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
6308,Data Scientist,Jnit Technologies,"Seattle, WA",yes
6309,Data Scientist,Kaav inc.,"Dublin, OH",yes
6310,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6311,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6312,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6313,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6314,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
6315,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
6316,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6317,Data Scientist,Jnit Technologies,"Seattle, WA",yes
6318,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6319,Data Scientist,Digitalogy,"New York, NY",yes
6320,Data Scientist,University of California - Irvine,"Irvine, CA 92697",yes
6321,Data Scientist,Digitalogy,"New York, NY",yes
6322,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6323,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6324,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6325,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6326,Data Scientist,Pricesenz,"Broomfield, CO",yes
6327,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6328,Contract Data Scientist,"DonorBureau, LLC","Franklin, TN 37067",yes
6329,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6330,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6331,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6332,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6333,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6334,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6335,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
6336,Sr. Data Engineer,Headwaytek,"Concord, CA",yes
6337,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
6338,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6339,Artificial Intelligence / Deep Learning /ML – Machine Learning Consultant,TISSA Software,"McLean, VA",yes
6340,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
6341,Data Scientist,Digitalogy,"New York, NY",yes
6342,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6343,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6344,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6345,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6346,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6347,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
6348,Data Scientist,Pricesenz,"Broomfield, CO",yes
6349,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6350,Data Scientist,Jnit Technologies,"Seattle, WA",yes
6351,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6352,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6353,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6354,Data Scientist,Pricesenz,"Broomfield, CO",yes
6355,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6356,Data Scientist,Digitalogy,"New York, NY",yes
6357,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6358,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6359,Contract Data Scientist,"DonorBureau, LLC","Franklin, TN 37067",yes
6360,Data Scientist,Bainom Inc.,"San Francisco, CA",yes
6361,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6362,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6363,Data Scientist,Digitalogy,"New York, NY",yes
6364,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6365,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6366,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6367,Data Scientist,Pricesenz,"Broomfield, CO",yes
6368,Data Engineer,FutureSoft IT,"Detroit, MI",yes
6369,Data Scientist,"SolGenie Technologies, Inc.","Framingham, MA",yes
6370,Data Scientist,Jnit Technologies,"Seattle, WA",yes
6371,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6372,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6373,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6374,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6375,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
6376,Data Engineer,FutureSoft IT,"Detroit, MI",yes
6377,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6378,Data Scientist,Kaav inc.,"Dublin, OH",yes
6379,Sr. Data Scientist,Microagility,"Columbus, OH",yes
6380,Data Engineer,Accelalpha,"Seattle, WA",yes
6381,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6382,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6383,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6384,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
6385,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
6386,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6387,Data Scientist,Jnit Technologies,"Seattle, WA",yes
6388,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6389,Data Scientist,Digitalogy,"New York, NY",yes
6390,Data Scientist,University of California - Irvine,"Irvine, CA 92697",yes
6391,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6392,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6393,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6394,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6395,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
6396,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
6397,Sr. Data Scientist,Microagility,"Columbus, OH",yes
6398,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6399,Data Scientist,Kaav inc.,"Dublin, OH",yes
6400,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6401,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6402,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6403,Data Engineer,FutureSoft IT,"Detroit, MI",yes
6404,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6405,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
6406,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6407,Data Engineer,Accelalpha,"Seattle, WA",yes
6408,Data Scientist,Kaav inc.,"Dublin, OH",yes
6409,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6410,"Big Data Engineer(OPT,CPT,STEM OPT only)",N9-IT solutions,"Sunnyvale, CA",yes
6411,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6412,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6413,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6414,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6415,Google Cloud Data Engineer,DigiTransTEch,"Chicago, IL",yes
6416,"SENIOR DATA ENGINEER, #10586",InspiHER Tech,"Chicago, IL",yes
6417,Data Scientist,Pricesenz,"Broomfield, CO",yes
6418,Data Scientist,INSIGMA INC,"Bentonville, AR",yes
6419,Data Science Architect,Jnit Technologies,"Santa Clara, CA",yes
6420,Data Scientist,Kaav inc.,"Dublin, OH",yes
6421,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6422,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6423,Data Engineer,FutureSoft IT,"Detroit, MI",yes
6424,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
6425,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6426,"Big Data Engineer(OPT,CPT,STEM OPT only)",N9-IT solutions,"Sunnyvale, CA",yes
6427,Data Engineer,Accelalpha,"Seattle, WA",yes
6428,Data Scientist,Kaav inc.,"Dublin, OH",yes
6429,Urgent Need Data Scientist,Kaav Inc,"Dublin, OH",yes
6430,Data Scientist,Lakarya,"Arlington, VA",yes
6431,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6432,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6433,Data Engineer,FutureSoft IT,"Detroit, MI",yes
6434,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6435,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6436,Data Scientist,Kaav inc.,"Dublin, OH",yes
6437,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6438,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6439,Data Science Architect,Jnit Technologies,"Santa Clara, CA",yes
6440,Data Science Architect,Themesoft,"Mountain View, CA",yes
6441,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6442,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6443,Data Scientist / Analyst,Smartlocating Corporation,United States,yes
6444,Jr. Data Scientist,Numero Data LLC,"Herndon, VA",yes
6445,Data Scientist - RPA UIPath,"SolutionIT, Inc.","Carrollton, GA",yes
6446,Sr. Data Scientist,Microagility,"Columbus, OH",yes
6447,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
6448,Data Scientist,Digitalogy,"New York, NY",yes
6449,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6450,Data Analyst/Scientist,Kyber Technologies INC,"Seattle, WA",yes
6451,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6452,Data Scientist,Cronus Human Capital,"Rockville, MD",yes
6453,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
6454,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6455,Sr. Data Scientist,Nuanza inc,"Dallas, TX",yes
6456,Data Engineer,FutureSoft IT,"Detroit, MI",yes
6457,"Big Data Engineer(OPT,CPT,STEM OPT only)",N9-IT solutions,"Sunnyvale, CA",yes
6458,Data Scientist,Kaav inc.,"Dublin, OH",yes
6459,Data Engineer,Accelalpha,"Seattle, WA",yes
6460,Urgent Need Data Scientist,Kaav Inc,"Dublin, OH",yes
6461,Data Scientist 10774 (NO C2C),Production Modeling Corporation,"Auburn Hills, MI",yes
6462,Data Scientist,"Computer Enterprises, Inc. (CEI)","Pittsburgh, PA",yes
6463,Data Engineer,FutureSoft IT,"Detroit, MI",yes
6464,Data Science Director,FAAZ Consulting,"Alexandria, VA",yes
6465,Entry Level Data Scientist,Numero Data LLC,"Herndon, VA",yes
6466,Data Scientist,Kaav inc.,"Dublin, OH",yes
